	0
1452	NDUFS3
1453	NDUFS4
1454	NDUFS5
1455	NDUFS6
1456	NDUFS7
1457	NDUFS8
1458	NDUFV1
1459	NDUFV2
1460	NDUFV3
1461	NEAT1
1462	NECAP2
1463	NEDD4L
1464	NEDD8
1465	NEDD9
1466	NELFCD
1467	NELFE
1468	NEMF
1469	NENF
1470	NEU1
1471	NFE2L2
1472	NFE2L3
1473	NFKBIA
1474	NFKBIE
1475	NFKBIZ
1476	NHP2
1477	NIFK
1478	NINJ1
1479	NIPBL
1480	NIT2
1481	NKG7
1482	NKTR
1483	NMB
1484	NME1
1485	NME3
1486	NMI
1487	NMRAL1
1488	NMT1
1489	NOC2L
1490	NOC4L
1491	NOL10
1492	NOL11
1493	NOL3
1494	NOL7
1495	NOMO1
1496	NONO
1497	NOP10
1498	NOP16
1499	NOP2
1500	NOP56
1501	NOP58
1502	NOSIP
1503	NPC2
1504	NPM1
1505	NPM3
1506	NPRL3
1507	NR1H2
1508	NR2C2AP
1509	NR3C1
1510	NR4A1
1511	NR4A2
1512	NRBP1
1513	NSA2
1514	NSD1
1515	NSDHL
1516	NSMCE1
1517	NSMF
1518	NSRP1
1519	NSUN2
1520	NSUN5
1521	NT5C
1522	NT5C3A
1523	NTHL1
1524	NTMT1
1525	NUB1
1526	NUBP2
1527	NUCB1
1528	NUCB2
1529	NUCKS1
1530	NUDC
1531	NUDCD1
1532	NUDCD2
1533	NUDT1
1534	NUDT4
1535	NUDT5
1536	NUFIP2
1537	NUP107
1538	NUP155
1539	NUP210
1540	NUP37
1541	NUP85
1542	NUSAP1
1543	NUTF2
1544	NXT1
1545	OCIAD1
1546	OCIAD2
1547	ODC1
1548	ODF2L
1549	OFD1
1550	OGFR
1551	OGT
1552	OLA1
1553	OPTN
1554	ORC5
1555	ORC6
1556	ORMDL1
1557	OS9
1558	OSBPL8
1559	OSCAR
1560	OST4
1561	OSTC
1562	OSTF1
1563	OXA1L
1564	OXLD1
1565	P2RX4
1566	P4HA1
1567	P4HB
1568	PA2G4
1569	PABPC1
1570	PABPC1L
1571	PABPC4
1572	PABPN1
1573	PAFAH1B1
1574	PAFAH1B3
1575	PAICS
1576	PAIP2
1577	PAK2
1578	PAPOLA
1579	PARK7
1580	PARP1
1581	PARP10
1582	PARP12
1583	PARP14
1584	PBXIP1
1585	PCBP1
1586	PCBP2
1587	PCED1A
1588	PCF11
1589	PCGF1
1590	PCM1
1591	PCMT1
1592	PCMTD1
1593	PCNA
1594	PCNP
1595	PCSK7
1596	PDAP1
1597	PDCD10
1598	PDCD11
1599	PDCD2L
1600	PDCD4
1601	PDCD5
1602	PDCD6
1603	PDCD6IP
1604	PDE4B
1605	PDIA3
1606	PDIA4
1607	PDIA6
1608	PDK4
1609	PDLIM1
1610	PDRG1
1611	PDZD11
1612	PEBP1
1613	PER1
1614	PERP
1615	PES1
1616	PET100
1617	PFDN1
1618	PFDN2
1619	PFDN4
1620	PFDN5
1621	PFDN6
1622	PFKL
1623	PFN1
1624	PGAM1
1625	PGK1
1626	PGLS
1627	PGRMC1
1628	PHB
1629	PHB2
1630	PHF14
1631	PHF20
1632	PHF20L1
1633	PHF3
1634	PHIP
1635	PHPT1
1636	PIGU
1637	PIH1D1
1638	PIK3IP1
1639	PIK3R1
1640	PILRA
1641	PILRB
1642	PIM1
1643	PIM2
1644	PIM3
1645	PIN1
1646	PIN4
1647	PINK1
1648	PIP4K2A
1649	PIP4K2C
1650	PITHD1
1651	PJA2
1652	PKIB
1653	PKM
1654	PLAC8
1655	PLAUR
1656	PLEK
1657	PLEKHJ1
1658	PLEKHO1
1659	PLIN2
1660	PLOD1
1661	PLOD3
1662	PLP2
1663	PLSCR1
1664	PLXNA1
1665	PLXNA3
1666	PMAIP1
1667	PMP22
1668	PMPCB
1669	PMVK
1670	PNISR
1671	PNKD
1672	PNKP
1673	PNN
1674	PNO1
1675	PNPT1
1676	PNRC1
1677	PNRC2
1678	POLB
1679	POLD2
1680	POLD4
1681	POLDIP2
1682	POLE3
1683	POLE4
1684	POLG2
1685	POLM
1686	POLR1A
1687	POLR1C
1688	POLR1D
1689	POLR2A
1690	POLR2B
1691	POLR2E
1692	POLR2F
1693	POLR2G
1694	POLR2H
1695	POLR2I
1696	POLR2J
